company,address,price,sq_meter_price,area,n_rooms,floor,build_year,type
Tigres Nieruchomoœci sp. z o. o.,"Gdynia Œródmieœcie, Stefana ¯eromskiego",1 242 000 z³,14 892 z³,"83,40",3,3,2020,Mieszkanie
Tigres Nieruchomoœci sp. z o. o.,"Gdynia Œródmieœcie, Stefana ¯eromskiego",699 000 z³,10 477 z³,"66,72",3,Parter,2020,Mieszkanie
Dom & House,"Gdañsk Œródmieœcie, Wa³owa",450 060 z³,13 000 z³,"34,62",2,1,2020,Mieszkanie
North Hus,Pruszcz Gdañski (gw) Wiœlinka,746 610 z³,"17 617,04 z³","42,38",2,Parter,2021,Mieszkanie
North Hus,Pruszcz Gdañski (gw) Wiœlinka,880 680 z³,"17 100,58 z³","51,50",3,1,2021,Mieszkanie
North Hus,Pruszcz Gdañski (gw) Wiœlinka,1 431 720 z³,"17 584,38 z³","81,42",3,Parter,2021,Mieszkanie
North Hus,Pruszcz Gdañski (gw) Wiœlinka,1 044 270 z³,"17 260,66 z³","60,50",3,2,2021,Mieszkanie
Robyg Grupa Deweloperska,"Gdañsk Letnica, Starowiejska",688 000 z³,"8 647,56 z³","79,56",4,8,2021,Mieszkanie
RAI Deweloper,"Sopot, Kamienica £okietka",708 840 z³,18 000 z³,"39,38",2,1,2020,Mieszkanie
RAI Deweloper,"Sopot, Kamienica £okietka",708 180 z³,16 500 z³,"42,92",2,Parter,2020,Mieszkanie
RAI Deweloper,"Sopot, Kamienica £okietka",898 790 z³,17 000 z³,"52,87",2,Parter,2020,Mieszkanie
Dekpol,Gdañsk,1 063 950 z³,16 939 z³,"62,81",3,1,,Mieszkanie
Dekpol,Gdañsk,915 120 z³,17 457 z³,"52,42",3,2,,Mieszkanie
Dekpol,Gdañsk,1 316 715 z³,17 212 z³,"76,50",3,1,,Mieszkanie
Dekpol,Gdañsk,1 314 870 z³,17 204 z³,"76,43",3,1,,Mieszkanie
Dekpol,Gdañsk,1 345 620 z³,17 606 z³,"76,43",3,,,Mieszkanie
Dekpol,Gdañsk,896 670 z³,17 105 z³,"52,42",3,1,,Mieszkanie
Dekpol,Gdañsk,1 187 565 z³,17 588 z³,"67,52",3,2,,Mieszkanie
Dekpol,Gdañsk,1 414 500 z³,17 587 z³,"80,43",4,,,Mieszkanie
Dekpol,Gdañsk,916 350 z³,17 797 z³,"51,49",3,2,,Mieszkanie
Dekpol,Gdañsk,1 322 250 z³,17 597 z³,"75,14",3,,,Mieszkanie
Dekpol,Gdañsk,1 339 470 z³,17 537 z³,"76,38",3,2,,Mieszkanie
Dekpol,Gdañsk,1 156 815 z³,17 613 z³,"65,68",3,2,,Mieszkanie
Dekpol,Gdañsk,918 195 z³,17 440 z³,"52,65",3,2,,Mieszkanie
Dekpol,Gdañsk,1 134 675 z³,17 276 z³,"65,68",3,1,,Mieszkanie
Dekpol,Gdañsk,984 615 z³,17 307 z³,"56,89",2,1,,Mieszkanie
Dekpol,Gdañsk,900 360 z³,17 101 z³,"52,65",3,1,,Mieszkanie
Dekpol,Gdañsk,1 343 160 z³,17 558 z³,"76,50",3,2,,Mieszkanie
Dekpol,Gdañsk,1 429 875 z³,17 590 z³,"81,29",3,,,Mieszkanie
Dekpol,Gdañsk,1 084 860 z³,17 272 z³,"62,81",3,2,,Mieszkanie
